Model,MSE,RMSE,MAE,MAPE,R-Squared
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.00043887441530612647,0.020949329710187065,0.011639738975022346,0.24082006054365132,0.2620662588131837
Hybrid_Delta_H_With_MFDFA_Ridge,0.0004146757069144891,0.020363587771178464,0.011047887852659321,0.22913377738617519,0.30275453498638916
Hybrid_Delta_H_With_MFDFA_LSTM,0.0004650426818339052,0.0215648482914651,0.011804319569153905,0.24466446393978716,0.21806632136923876
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.00045999513214729743,0.021447497106825714,0.011989443036865473,0.24924178984139078,0.22655338986573947
Hybrid_Delta_H_With_MFDFA_GRU,0.0004714276234572172,0.021712384103483827,0.012381798526938383,0.2649934381042653,0.20733053068510077
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004895118379311392,0.022124914416357392,0.0126944701873708,0.26842364164313676,0.176923308077108
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0004070467805977028,0.020175400382587274,0.010863409252880273,0.22796792354923726,0.31558199072736204
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.00041955745773125484,0.020483101760506266,0.01112073471710603,0.2294762583404336,0.29454624460052803
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0004207471176291096,0.020512121236700744,0.011084835546242065,0.22884955950683475,0.29254592252991585
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004321756930417593,0.02078883577889246,0.011483788874209656,0.23743147347259472,0.2733296476308431
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.0004347325916504502,0.020850242004601536,0.011526486169802017,0.2383566335801949,0.2690304183061387
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.00041503104887397405,0.02037231083784984,0.011055000696530405,0.22931269313634742,0.30215705467671916
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.00047089315692077635,0.021700072739988138,0.012017019957610807,0.2484364695258774,0.20822919526207273
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.00044855774079516114,0.021179181778226492,0.01179125030212362,0.24475811366721842,0.24578448809235298
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.0004948342969799947,0.022244871251144493,0.012655280060523274,0.26849975525615133,0.16797400052748468
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.0004768529192139455,0.021836962224951198,0.012503692059753648,0.2706662226249933,0.19820831108153836
