datetime,Future_Vol_24h,Base_Vol_24h,Target_Residual,RV_Return,return,Past_Residual,delta_H,delta_alpha,alpha_0,delta_H_daily_mean,delta_alpha_daily_mean
2021-01-24 12:00:00,0.0429268396733815,0.051534483855744,-0.18275390930749527,0.0399465972793822,-0.6763346200818532,-0.4800003244806151,0.2027805219285891,0.3560169263613817,0.5221269100429075,0.2470928479592676,0.4392991779531955
2021-01-24 12:10:00,0.0439331317116824,0.05128901550789091,-0.15480786246990888,0.0398315048515452,-0.1547512899998437,-0.4830100037264894,0.2375052493791504,0.4336057282749038,0.5227047134913869,0.2470928479592676,0.4392991779531955
2021-01-24 12:20:00,0.0439398984641863,0.05105888714545269,-0.15015686036904655,0.039791422877917,0.0654490428667387,-0.4841924594079681,0.1985575478441901,0.3454380104727221,0.5239702998702112,0.2470928479592676,0.4392991779531955
2021-01-24 12:30:00,0.0435504498654035,0.05086878107102025,-0.15532936379547993,0.0401731057666927,-0.6037284432728995,-0.47495186811406503,0.2365274041988777,0.4307135133052926,0.5229056261696485,0.2470928479592676,0.4392991779531955
2021-01-24 12:40:00,0.0486142506186238,0.05073110082220216,-0.04262244044208851,0.0401815276870621,-0.1693914431566412,-0.4744243587917559,0.2494854192295989,0.4605928717830684,0.5235969008128789,0.2470928479592676,0.4392991779531955
2021-01-24 12:50:00,0.0486254723180768,0.050606457116732936,-0.03993166378072171,0.0398536736792787,0.1349313274682018,-0.4818634031166371,0.2477239224933167,0.4575703776641922,0.5223469051664459,0.2470928479592676,0.4392991779531955
2021-01-24 13:00:00,0.0486321329477912,0.05049246386918977,-0.037539610638346085,0.0397201074894266,0.0769867143418423,-0.4847799886165664,0.2398482704599003,0.4429924055216052,0.522902719013983,0.2470928479592676,0.4392991779531955
2021-01-24 13:10:00,0.0486723239937696,0.05036905262004174,-0.03426637843234577,0.0385372875350421,-0.3599342210540257,-0.5144290809498576,0.2172311713512746,0.3902234833266558,0.5213907417725127,0.2470928479592676,0.4392991779531955
2021-01-24 13:20:00,0.0493707891609975,0.05016621683433985,-0.01598289195401455,0.0383611437556523,0.0678048125942964,-0.5196521549813995,0.2139724393595536,0.3836184409203612,0.5235929080938765,0.2470928479592676,0.4392991779531955
2021-01-24 13:30:00,0.0496062318378864,0.049964482922351935,-0.007195943731613056,0.0383400997485987,0.0207158405807206,-0.519290880181636,0.2089262138160399,0.3528409405155332,0.5243049787213947,0.2470928479592676,0.4392991779531955
2021-01-24 13:40:00,0.0496724492509498,0.04979383276791432,-0.0024406979884571294,0.0380814592888303,-0.1683553911583146,-0.5252368045220344,0.2247719104094698,0.3980838422955355,0.5239109369560664,0.2470928479592676,0.4392991779531955
2021-01-24 13:50:00,0.0496673319168604,0.04962146490350711,0.0009239112182815168,0.0376571176371111,-0.0903746426349272,-0.5361101707242486,0.2467286186971366,0.4475731320658885,0.5235838505607089,0.2470928479592676,0.4392991779531955
2021-01-24 14:00:00,0.0498143422232465,0.04944133764019736,0.007516070405655411,0.0376534467567731,0.1884024105720527,-0.5361215901943415,0.209203196555407,0.3633945783019055,0.5236933688773493,0.2470928479592676,0.4392991779531955
2021-01-24 14:10:00,0.0498206674264534,0.04927166593555633,0.011080718145692696,0.0376091172251151,-0.0712130275962508,-0.536524309804025,0.239210035431222,0.4345656025775505,0.521976625784718,0.2470928479592676,0.4392991779531955
