Model,MSE,RMSE,MAE,MAPE,R-Squared
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.00043523097165811767,0.020862190001486366,0.011362045632732045,0.23421041027208758,0.26819243046550734
Hybrid_Delta_H_With_MFDFA_Ridge,0.0004146757069144891,0.020363587771178464,0.011047887852659321,0.22913377738617519,0.30275453498638916
Hybrid_Delta_H_With_MFDFA_LSTM,0.00044474991311024126,0.021089094648899492,0.011471467221012742,0.23600833388418035,0.2521870589220233
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.00044714634018541526,0.021145835055287252,0.011527433071527808,0.23518533247757675,0.24815765019964198
Hybrid_Delta_H_With_MFDFA_GRU,0.00044834002923714063,0.02117404140066654,0.01158244468458834,0.23835413310769193,0.24615055341515746
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004642572985172892,0.021546630792708386,0.011917259700711585,0.24736893801426457,0.21938688330879008
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0004070467805977028,0.020175400382587274,0.010863409252880273,0.22796792354923726,0.31558199072736204
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.0004206987817527258,0.020510942975707522,0.010832420064350213,0.2167425143527929,0.2926271956067903
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.00042981407253128457,0.020731957759248992,0.011137388285247903,0.2234358469465251,0.27730053177851577
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004238505816039418,0.02058763176287991,0.011136868617742263,0.2261466626347914,0.28732768537205144
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.00041857108881460033,0.020459009966628403,0.011079637575394747,0.22438167979814502,0.2962047484446164
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.00041503104887397405,0.02037231083784984,0.011055000696530405,0.22931269313634742,0.30215705467671916
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.0004399102507515127,0.02097403754052883,0.011229621383690585,0.22761936101101726,0.2603245807868294
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.0004579233629686736,0.021399143977474278,0.011700225325792016,0.23838161358529592,0.2300369111819479
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.00045480661466282333,0.021326195503718504,0.011717483460831653,0.2388693270733542,0.2352774849257363
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.0004651042137064815,0.021566274914933303,0.012199903442650652,0.25463240023540573,0.21796286023468903
